	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR250076_c0_g1	3	3	9	1	4	4	0	1	2	5	4	1	1	1	
isogroupTR250151_c0_g1	1	1	1	2	0	2	0	0	0	16	3	3	5	1	
isogroupTR250183_c0_g1	21	4	36	3	2	10	9	3	6	18	6	2	10	8	
isogroupTR250252_c0_g1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	
isogroupTR250282_c0_g3	1	1	0	0	0	0	1	0	0	0	0	2	0	1	
isogroupTR250394_c0_g1	0	0	0	0	0	0	0	0	0	0	2	5	7	3	
isogroupTR250429_c0_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
isogroupTR250444_c0_g1	1	0	1	2	0	1	0	0	1	1	0	0	1	0	
isogroupTR250517_c0_g1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	
isogroupTR250532_c1_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR250565_c0_g1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	
isogroupTR250573_c0_g1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR250619_c1_g1	0	0	0	0	2	1	0	0	0	3	0	0	0	0	
isogroupTR250667_c0_g2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR250697_c0_g1	3	0	6	1	1	1	5	0	1	1	3	0	1	0	
isogroupTR250713_c0_g1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR250748_c0_g1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
isogroupTR250813_c0_g1	2	5	0	0	0	0	0	0	0	3	1	0	0	0	
isogroupTR250866_c0_g1	0	0	2	1	2	1	0	0	1	0	0	0	1	0	
isogroupTR250872_c0_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroupTR250951_c0_g1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	
isogroupTR250961_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR250965_c0_g1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	
isogroupTR250983_c0_g1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	
isogroupTR251073_c0_g1	207	63	227	69	119	123	99	102	77	79	220	158	120	87	
isogroupTR251077_c0_g1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	
isogroupTR25114_c0_g1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
isogroupTR251177_c0_g2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR251194_c1_g1	0	0	0	0	0	0	1	0	1	0	2	4	0	0	
isogroupTR251200_c0_g1	26	9	61	14	11	43	13	17	12	37	37	32	24	19	
isogroupTR251216_c0_g1	0	1	1	0	1	0	0	1	0	0	0	2	0	0	
isogroupTR251229_c0_g1	16	36	24	18	39	1	8	2	1	6	12	25	99	58	
isogroupTR251275_c0_g1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	
isogroupTR251283_c0_g1	7	1	6	0	6	7	3	1	2	2	6	3	3	2	
isogroupTR251313_c0_g1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR251354_c0_g1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	
isogroupTR251464_c0_g1	182	175	478	204	224	185	164	176	103	237	287	313	258	264	
isogroupTR251542_c0_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR251552_c0_g1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	
isogroupTR251570_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR251584_c0_g2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	
isogroupTR251620_c0_g3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR251627_c0_g1	1	2	0	1	1	0	0	0	0	0	1	0	1	0	
isogroupTR251654_c0_g1	0	0	0	0	0	1	0	0	1	0	1	1	2	0	
isogroupTR251678_c0_g2	3	0	1	2	3	2	0	0	1	2	2	1	3	4	
isogroupTR251730_c0_g1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	
isogroupTR251765_c2_g1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	
isogroupTR251822_c1_g1	0	0	0	2	1	0	0	0	0	2	1	0	2	0	
isogroupTR251886_c1_g1	223	30	405	42	81	112	65	57	25	57	107	76	103	34	
isogroupTR251886_c1_g2	8	0	14	2	8	9	4	0	2	3	9	2	5	3	
isogroupTR251929_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR251932_c0_g1	0	3	101	4	1	10	4	1	7	249	5	1	1	0	
isogroupTR251932_c0_g2	3	0	0	0	0	0	0	1	0	7	1	1	0	0	
isogroupTR251992_c0_g1	1	0	1	0	0	0	0	0	0	1	0	0	2	0	
isogroupTR251993_c0_g2	0	0	1	0	1	2	0	0	0	0	6	3	2	3	
isogroupTR252050_c0_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR252095_c0_g1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
isogroupTR252101_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR252108_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR252124_c0_g1	17	10	19	7	14	11	10	11	4	16	39	41	13	12	
isogroupTR252144_c0_g2	8	2	8	4	3	24	3	2	7	12	5	5	5	4	
isogroupTR252173_c0_g1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR252274_c0_g1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	
isogroupTR252281_c0_g1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR252281_c1_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR252291_c0_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroupTR252292_c0_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR252339_c0_g2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
isogroupTR252343_c0_g2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
isogroupTR252355_c1_g1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	
isogroupTR252388_c0_g1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	
isogroupTR252397_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR252398_c0_g2	0	0	0	1	0	0	0	0	2	0	1	0	0	1	
isogroupTR252419_c1_g2	1	0	24	0	0	0	6	0	4	2	0	0	0	0	
isogroupTR252507_c0_g1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	
isogroupTR252702_c0_g1	4	0	2	0	0	0	0	0	1	0	0	0	1	0	
isogroupTR252713_c0_g1	0	0	1	0	0	0	2	0	0	0	1	0	2	0	
isogroupTR252748_c0_g1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	
isogroupTR252770_c0_g1	14	0	35	3	12	4	2	5	1	8	11	11	7	6	
isogroupTR252793_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	
isogroupTR252803_c0_g1	1	1	0	0	0	0	2	0	0	1	0	0	0	0	
isogroupTR252947_c0_g1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	
isogroupTR252978_c0_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR252991_c0_g1	0	1	2	3	0	1	0	0	0	0	3	1	1	1	
isogroupTR253055_c0_g1	1	2	2	1	2	0	1	1	0	1	0	3	3	3	
isogroupTR253090_c0_g1	13	15	30	14	13	25	14	8	6	12	22	30	34	28	
isogroupTR253117_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR253222_c0_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroupTR253308_c0_g1	1	2	2	0	1	2	0	2	0	0	3	0	5	0	
isogroupTR253311_c0_g2	2	1	3	0	2	0	0	0	0	3	3	4	0	2	
isogroupTR253362_c0_g1	0	0	2	1	0	0	1	0	0	1	0	0	0	1	
isogroupTR253455_c0_g1	2	0	2	0	4	0	0	2	0	0	1	1	1	1	
isogroupTR253473_c0_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	
isogroupTR253508_c0_g4	7	7	29	5	9	14	12	5	4	1	14	14	13	8	
isogroupTR253581_c0_g2	2	0	2	0	1	0	0	0	0	0	0	2	1	0	
isogroupTR253582_c1_g1	1	0	5	2	1	0	1	0	2	1	2	0	1	0	
isogroupTR253607_c0_g1	0	2	2	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR253610_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR253610_c1_g1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	
isogroupTR253619_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR25364_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR253655_c0_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR253880_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR253910_c0_g1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR253961_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR253972_c1_g1	1	0	1	0	0	0	0	0	1	2	1	0	1	0	
isogroupTR254006_c1_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR254043_c0_g2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR254288_c1_g1	146	63	65	41	30	11	63	13	14	93	64	69	142	56	
isogroupTR254323_c0_g1	14	10	40	34	26	17	13	13	19	12	30	22	18	12	
isogroupTR254343_c0_g1	672	368	992	459	179	852	293	431	132	804	592	663	700	851	
isogroupTR254370_c0_g1	139	83	345	133	129	137	123	117	70	143	177	226	141	120	
isogroupTR254372_c0_g1	10	3	5	4	4	6	1	4	3	1	19	1	6	1	
isogroupTR254422_c0_g1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	
isogroupTR254422_c0_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
isogroupTR25443_c0_g1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	
isogroupTR254447_c0_g2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroupTR254456_c0_g1	2	0	13	0	1	1	2	1	1	5	3	0	1	2	
isogroupTR254479_c0_g1	0	2	4	1	2	0	0	0	0	2	3	0	1	0	
isogroupTR254522_c0_g1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	
isogroupTR254543_c0_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR254595_c0_g1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
isogroupTR254619_c0_g2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR254634_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	
isogroupTR254652_c0_g1	0	3	0	0	0	0	0	0	1	0	1	0	0	0	
isogroupTR254665_c0_g1	25	7	28	5	4	4	3	3	1	19	13	3	13	12	
isogroupTR254665_c0_g2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR254777_c0_g1	209	285	1511	440	203	43	470	379	14	233	33	486	522	603	
isogroupTR254810_c0_g1	2	3	15	1	9	3	4	2	0	3	4	3	8	5	
isogroupTR254819_c0_g1	22	11	0	0	0	0	0	0	0	1	33	21	3	3	
isogroupTR254834_c0_g1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
isogroupTR254845_c0_g1	0	1	2	0	0	0	1	0	0	2	1	1	0	0	
isogroupTR254855_c0_g1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	
isogroupTR254869_c0_g1	1	2	1	1	0	4	1	0	0	0	1	0	3	3	
isogroupTR255014_c1_g2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	
isogroupTR255023_c0_g1	23	3	58	16	18	6	9	11	4	7	13	28	22	13	
isogroupTR255128_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroupTR255143_c0_g1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	
isogroupTR255180_c0_g2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR255196_c0_g1	3	0	9	1	1	2	7	0	2	1	7	4	3	4	
isogroupTR255497_c0_g1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	
isogroupTR255523_c0_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR255523_c0_g2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
isogroupTR255545_c0_g1	11	12	15	16	11	7	4	4	7	7	17	11	14	20	
isogroupTR255597_c0_g1	0	0	3	0	0	8	1	0	0	5	0	2	0	0	
isogroupTR255599_c0_g1	2	0	0	0	1	0	0	0	0	0	2	1	0	1	
isogroupTR255700_c0_g1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR255700_c0_g2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR255705_c0_g2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	
isogroupTR255798_c0_g1	1	0	2	3	1	0	1	1	0	2	0	2	1	2	
isogroupTR255847_c0_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
isogroupTR255855_c0_g1	0	0	2	0	2	2	0	0	0	0	2	1	0	0	
isogroupTR255861_c0_g1	3	3	10	3	1	2	1	1	2	1	7	4	2	1	
isogroupTR255890_c0_g1	15	5	19	7	2	3	10	26	2	5	8	21	11	22	
isogroupTR255901_c0_g1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR255906_c1_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR255930_c0_g1	0	0	4	1	0	0	0	0	0	0	3	0	0	0	
isogroupTR255952_c1_g1	2	0	2	1	0	0	1	0	0	0	1	3	3	0	
isogroupTR255958_c0_g1	0	1	0	0	0	0	1	0	0	2	0	0	0	1	
isogroupTR255961_c0_g2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
isogroupTR255967_c0_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR255998_c1_g1	0	1	3	0	1	2	1	0	1	0	1	2	0	0	
isogroupTR256141_c0_g1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	
isogroupTR256181_c0_g1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	
isogroupTR256198_c0_g1	4	1	0	3	0	0	0	1	0	0	0	1	0	1	
isogroupTR256215_c0_g1	214	8	40	7	4	49	22	8	159	19	178	13	26	11	
isogroupTR256228_c0_g1	371	216	134	23	3	4	31	29	38	143	142	99	42	70	
isogroupTR256257_c0_g1	1	3	3	0	5	2	1	1	1	0	1	1	0	0	
isogroupTR256277_c0_g1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	
isogroupTR256315_c0_g2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR256337_c0_g1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	
isogroupTR25633_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	
isogroupTR256419_c1_g1	0	0	4	0	0	1	0	0	1	1	0	0	0	0	
isogroupTR256421_c0_g1	2	1	1	0	1	0	1	1	2	0	1	2	1	1	
isogroupTR256427_c0_g2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR256452_c0_g1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	
isogroupTR256452_c0_g2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR256456_c0_g1	0	0	4	0	0	0	0	0	0	1	1	1	0	0	
isogroupTR256463_c0_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR256520_c0_g1	1	0	1	0	0	0	0	0	0	0	0	1	2	0	
isogroupTR256521_c0_g1	94	21	5014	1826	17	70	2045	2556	12	101	20	276	55	14	
isogroupTR256530_c2_g1	0	0	0	0	2	0	2	0	0	0	0	0	1	0	
isogroupTR256570_c0_g1	46	9	86	19	10	10	13	8	9	29	20	15	9	10	
isogroupTR256721_c0_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR256743_c0_g1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR256743_c0_g3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR256854_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR256884_c0_g2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
isogroupTR256903_c0_g1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	
isogroupTR256924_c0_g1	0	0	0	0	0	1	0	1	0	0	3	1	0	0	
isogroupTR257015_c0_g1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	
isogroupTR257015_c0_g2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR257052_c1_g1	2	0	0	1	0	0	1	0	0	0	0	1	0	1	
isogroupTR257141_c1_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroupTR257145_c0_g1	0	2	1	3	0	1	2	0	0	0	3	1	1	0	
isogroupTR257150_c0_g1	15	21	24	12	13	3	17	7	0	2	31	22	65	24	
isogroupTR257155_c0_g1	83	56	160	71	76	85	116	82	94	79	181	139	103	119	
isogroupTR257172_c0_g1	5	2	7	4	1	2	5	2	3	2	6	0	11	5	
isogroupTR257214_c0_g1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR257253_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR257256_c0_g1	10	1	21	6	4	8	3	11	3	11	10	21	14	7	
isogroupTR257316_c2_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR257453_c0_g1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	
isogroupTR257496_c0_g1	7	1	2	2	3	1	0	0	0	0	6	2	0	0	
isogroupTR257513_c0_g1	11	0	5	0	2	1	1	0	1	2	6	8	1	0	
isogroupTR257553_c0_g2	2	0	1	2	0	0	0	1	0	1	0	1	1	0	
isogroupTR257576_c0_g1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	
isogroupTR257600_c0_g1	0	0	1	3	1	1	0	0	0	2	0	0	1	2	
isogroupTR257621_c0_g1	4	0	3	2	0	0	0	2	0	2	1	2	0	1	
isogroupTR257667_c0_g1	5	0	4	1	1	0	0	0	0	1	1	0	1	0	
isogroupTR257765_c0_g1	25	4	37	9	18	27	17	9	4	18	39	29	25	14	
isogroupTR257813_c0_g1	0	1	1	1	0	0	0	0	1	0	0	2	2	1	
isogroupTR257899_c0_g3	245	193	1111	275	84	4	18	40	10	271	19	183	473	676	
isogroupTR2578_c0_g1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	
isogroupTR257977_c0_g1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	
isogroupTR258162_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR258203_c0_g2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroupTR258211_c1_g2	3	0	4	0	2	4	1	0	0	1	0	2	2	0	
isogroupTR258228_c0_g1	1	1	6	2	0	0	1	0	0	1	1	4	1	2	
isogroupTR258256_c0_g1	0	0	1	0	0	0	1	0	0	3	0	0	0	1	
isogroupTR258270_c1_g1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR258363_c0_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR258383_c0_g1	0	0	10	2	1	1	1	0	2	4	1	1	3	3	
isogroupTR258390_c0_g2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR258412_c1_g1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
isogroupTR258428_c0_g1	0	1	6	3	0	0	1	0	0	0	2	1	0	0	
isogroupTR258439_c0_g1	3	1	9	3	2	2	4	0	1	3	3	4	2	1	
isogroupTR258439_c1_g2	4	1	4	0	1	2	1	1	0	1	6	2	5	0	
isogroupTR258476_c0_g1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR258484_c0_g1	0	0	0	1	1	0	0	2	0	0	1	1	0	1	
isogroupTR258518_c0_g1	4	30	2	2	1	12	2	1	4	2	33	4	0	2	
isogroupTR258524_c0_g2	0	1	0	0	1	0	0	0	0	0	0	1	0	1	
isogroupTR258541_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR25855_c0_g1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	
isogroupTR258573_c0_g1	0	1	1	0	0	2	1	0	2	0	1	1	0	0	
isogroupTR258573_c1_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR258574_c0_g1	0	2	1	1	0	0	0	0	0	0	1	6	0	2	
isogroupTR258652_c1_g1	1	5	19	8	6	2	4	4	0	3	3	20	2	2	
isogroupTR258691_c0_g1	2	5	6	3	0	2	0	0	3	1	0	0	0	2	
isogroupTR258716_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR258752_c1_g1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
isogroupTR25878_c0_g1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	
isogroupTR258804_c0_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR258839_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR258856_c0_g1	1	0	0	3	0	0	0	1	0	0	2	0	0	0	
isogroupTR258858_c0_g2	0	0	1	1	1	0	1	0	1	0	1	0	0	0	
isogroupTR258921_c0_g1	0	0	0	0	2	0	0	0	0	0	2	1	0	1	
isogroupTR258921_c1_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR258977_c0_g1	3	0	1	0	0	1	0	0	0	1	2	0	0	0	
isogroupTR25900_c0_g1	6	3	10	1	1	2	2	1	5	4	7	2	3	3	
isogroupTR259011_c0_g2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR259072_c0_g1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR259087_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroupTR259101_c0_g1	0	0	0	2	0	0	0	1	0	2	3	1	0	0	
isogroupTR259114_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR259118_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR25917_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR259277_c0_g1	0	1	0	0	0	1	0	0	0	1	2	1	6	2	
isogroupTR259299_c0_g2	9	0	42	3	5	2	11	2	1	2	7	7	15	6	
isogroupTR259300_c0_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR259365_c0_g1	1	0	0	0	0	0	0	0	2	2	1	0	0	4	
isogroupTR259403_c1_g1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	
isogroupTR25940_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR259475_c0_g1	26	6	84	17	50	3	49	17	3	9	41	25	150	31	
isogroupTR259527_c0_g1	6	6	20	7	2	17	11	9	1	15	11	19	4	11	
isogroupTR259528_c0_g1	0	0	0	1	3	0	0	0	0	1	2	0	1	0	
isogroupTR259586_c0_g2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR259591_c0_g1	1	1	0	1	1	1	0	0	2	0	3	2	1	0	
isogroupTR259610_c0_g1	5	9	22	16	8	17	8	7	8	8	17	13	9	12	
isogroupTR259620_c0_g1	9	2	1	0	1	1	1	0	1	1	0	0	0	2	
isogroupTR259707_c0_g1	0	1	1	1	1	0	0	0	1	1	1	2	3	0	
isogroupTR259709_c0_g1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR259723_c0_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroupTR259755_c0_g1	617	264	459	312	149	56	105	281	77	484	277	487	203	211	
isogroupTR259776_c0_g2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR259888_c0_g1	3	6	14	15	2	2	5	0	5	6	15	13	9	10	
isogroupTR259929_c0_g1	3	0	0	1	0	0	5	1	0	0	5	1	2	0	
isogroupTR260004_c0_g1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR260004_c1_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR260005_c0_g1	4	3	19	4	6	2	2	3	4	5	8	4	3	4	
isogroupTR260058_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
isogroupTR260118_c1_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR260128_c0_g1	0	1	3	1	1	2	2	0	4	1	3	0	2	4	
isogroupTR260187_c0_g1	0	0	0	0	1	0	1	1	0	0	1	0	2	3	
isogroupTR260263_c0_g1	2	0	3	1	0	0	1	1	0	1	1	2	3	2	
isogroupTR260309_c1_g1	3	1	0	1	0	0	2	1	4	0	3	0	0	1	
isogroupTR260338_c0_g1	0	0	0	0	0	0	0	1	0	0	0	2	1	1	
isogroupTR260429_c0_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR260471_c0_g1	0	2	1	0	1	0	0	0	0	0	0	0	0	1	
isogroupTR260578_c0_g1	0	35	1	11	2	0	21	0	0	0	0	0	61	18	
isogroupTR260621_c0_g1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	
isogroupTR260685_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	
isogroupTR260692_c0_g1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	
isogroupTR260708_c0_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR260714_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR260714_c0_g2	1	4	2	3	0	0	0	0	0	1	0	0	0	0	
isogroupTR260765_c0_g1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	
isogroupTR260803_c0_g1	19	6	1	6	2	31	0	2	0	1	0	1	0	0	
isogroupTR260823_c0_g1	2	1	2	1	0	3	0	0	0	2	0	4	2	2	
isogroupTR260835_c0_g1	1	3	1	1	0	0	0	0	1	0	0	0	2	0	
isogroupTR260843_c0_g1	2	2	1	1	4	0	1	0	1	1	4	2	1	2	
isogroupTR260846_c0_g1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR260863_c0_g1	0	0	1	0	0	0	1	0	2	0	0	0	1	1	
isogroupTR260864_c1_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR260864_c1_g2	0	0	3	1	1	0	0	2	0	2	0	0	1	2	
isogroupTR260886_c1_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR260906_c0_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR260949_c0_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR261013_c1_g1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	
isogroupTR261075_c0_g1	0	0	0	1	3	1	0	0	0	0	0	1	0	1	
isogroupTR261134_c0_g1	1	0	3	0	0	1	2	1	1	2	2	2	4	3	
isogroupTR261255_c0_g1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	
isogroupTR261270_c0_g1	0	2	3	0	0	1	0	1	0	0	1	1	1	1	
isogroupTR261283_c0_g1	2	1	3	2	0	0	0	0	0	2	1	2	2	0	
isogroupTR261432_c0_g1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	
isogroupTR261502_c1_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR261521_c0_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	
