	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR101372_c1_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR101388_c0_g1	0	1	3	0	2	0	0	0	0	0	1	0	1	1	
isogroupTR101392_c0_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroupTR101394_c0_g1	6	4	0	0	1	0	0	0	1	1	0	0	4	3	
isogroupTR101398_c0_g1	3	1	8	0	7	10	2	2	0	5	6	5	4	3	
isogroupTR101409_c0_g3	0	0	5	1	2	1	1	1	2	2	5	1	0	3	
isogroupTR101426_c0_g1	1	0	4	0	0	0	0	0	0	1	0	1	0	0	
isogroupTR101435_c0_g1	2	0	2	0	1	3	4	1	0	0	9	8	1	5	
isogroupTR101447_c0_g1	0	2	11	0	0	1	3	2	3	5	2	3	4	3	
isogroupTR101494_c0_g1	0	1	18	4	0	5	6	5	3	0	1	9	30	36	
isogroupTR101504_c0_g1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroupTR101532_c2_g1	17	13	46	5	15	8	8	4	16	10	27	8	23	10	
isogroupTR101532_c2_g4	67	54	116	61	64	75	62	53	29	77	91	98	83	77	
isogroupTR101533_c5_g1	1	0	5	1	0	4	0	2	0	1	0	4	0	2	
isogroupTR101533_c5_g2	11	5	5	1	5	9	1	3	2	5	8	4	2	0	
isogroupTR101535_c2_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR101536_c4_g1	16	20	22	15	24	11	10	3	13	16	24	15	19	14	
isogroupTR101536_c5_g1	2	3	11	4	1	0	4	2	4	1	9	4	6	4	
isogroupTR101538_c0_g1	464	142	656	224	347	230	291	129	206	249	559	275	395	245	
isogroupTR101539_c0_g1	33	9	34	11	8	18	15	8	10	12	31	18	31	15	
isogroupTR101540_c3_g1	6	3	11	7	4	3	4	2	2	1	12	5	2	11	
isogroupTR101542_c0_g1	25	17	76	22	41	9	25	22	11	29	24	41	63	32	
isogroupTR101543_c2_g1	66	26	124	39	60	51	31	35	24	63	81	64	62	45	
isogroupTR101544_c1_g3	45	34	109	48	56	69	47	22	29	63	101	78	86	56	
isogroupTR101544_c2_g1	17	10	67	16	12	12	22	9	5	21	24	18	36	15	
isogroupTR101545_c0_g1	8	3	16	2	9	9	11	7	1	10	4	11	7	3	
isogroupTR101546_c0_g1	15	11	55	41	27	6	19	6	3	6	35	26	19	26	
isogroupTR101547_c2_g1	75	36	66	33	23	50	24	17	16	56	62	56	43	31	
isogroupTR101549_c0_g1	71	53	201	75	101	73	73	69	38	80	106	111	145	94	
isogroupTR101551_c0_g2	26	7	109	18	7	3	19	5	1	8	15	20	26	17	
isogroupTR101553_c1_g1	8	1	26	4	6	5	9	8	6	10	21	8	15	9	
isogroupTR101556_c0_g1	0	4	1	1	2	6	0	1	1	0	4	2	3	7	
isogroupTR101558_c0_g1	83	63	159	72	79	119	66	62	77	65	163	127	95	118	
isogroupTR101561_c0_g2	0	0	0	0	1	0	0	0	1	0	0	1	1	2	
isogroupTR101561_c2_g1	26	5	11	5	21	46	3	3	16	45	33	27	42	22	
isogroupTR101561_c2_g2	6	4	8	2	0	12	1	4	2	6	12	4	3	1	
isogroupTR101561_c2_g3	1	1	1	0	0	14	1	0	3	1	1	0	0	0	
isogroupTR101561_c3_g3	8	6	6	8	11	2	2	3	0	8	5	12	9	5	
isogroupTR101561_c3_g5	1	0	1	0	0	0	0	0	0	1	1	0	0	0	
isogroupTR101561_c3_g6	0	0	3	0	1	0	0	1	0	1	1	0	0	2	
isogroupTR101561_c3_g7	2	1	7	6	3	11	0	1	1	4	7	2	6	5	
isogroupTR101565_c5_g3	60	39	37	80	18	123	18	47	63	47	76	105	13	75	
isogroupTR101565_c5_g4	222	192	166	245	77	638	123	269	261	144	252	260	147	276	
isogroupTR101566_c0_g1	3	1	5	3	2	0	0	3	3	0	5	3	3	1	
isogroupTR101569_c0_g1	42	23	48	19	19	33	7	9	14	42	11	21	12	14	
isogroupTR101571_c1_g1	4	15	14	25	9	4	6	5	5	15	15	35	18	44	
isogroupTR101574_c1_g1	8	0	10	1	5	38	5	6	4	11	7	7	14	11	
isogroupTR101579_c1_g1	4	1	14	8	1	1	1	0	0	1	2	0	3	3	
isogroupTR101580_c11_g1	49	38	152	46	38	25	26	25	38	44	73	43	46	49	
isogroupTR101580_c5_g1	3	9	33	5	6	3	7	1	1	14	6	5	7	7	
isogroupTR101583_c1_g2	9	5	9	10	5	1	4	2	0	4	6	4	10	7	
isogroupTR101583_c2_g2	1	2	0	1	4	5	0	0	3	6	2	6	1	1	
isogroupTR101584_c2_g2	24	11	38	13	20	21	13	12	5	5	9	15	3	7	
isogroupTR101586_c0_g1	11	9	12	13	5	9	8	9	22	16	38	20	14	28	
isogroupTR101587_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR101590_c0_g1	0	1	3	0	0	0	0	4	1	0	3	6	3	1	
isogroupTR101591_c1_g1	5	3	7	2	5	2	1	0	2	3	3	4	1	2	
isogroupTR101599_c2_g1	239	85	381	98	152	97	99	106	27	175	114	195	245	108	
isogroupTR101600_c0_g1	0	1	1	0	3	0	1	1	0	0	2	0	1	0	
isogroupTR101600_c0_g2	13	5	38	4	15	9	18	11	6	4	11	15	12	6	
isogroupTR101604_c0_g1	5	7	20	8	4	5	2	2	6	9	9	10	11	5	
isogroupTR101608_c9_g1	0	0	0	0	0	0	0	0	0	0	9	0	1	1	
isogroupTR101608_c9_g3	19	5	14	5	4	16	6	2	16	3	42	11	5	5	
isogroupTR101609_c4_g1	6	5	2	2	0	8	0	3	1	2	6	4	1	0	
isogroupTR101609_c4_g2	15	2	8	5	1	3	2	2	3	3	18	0	3	8	
isogroupTR101609_c4_g4	0	0	10	0	3	7	2	1	0	1	1	0	0	0	
isogroupTR101610_c11_g1	3	1	46	6	20	7	20	13	0	0	4	8	19	8	
isogroupTR101610_c4_g1	3	0	8	0	0	0	1	1	0	2	2	0	0	1	
isogroupTR101610_c4_g2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	
isogroupTR101610_c8_g1	0	0	0	0	5	8	0	0	0	0	0	0	0	0	
isogroupTR101611_c5_g1	25	25	127	40	29	7	72	16	34	26	97	38	90	45	
isogroupTR101611_c7_g1	70	27	87	23	42	38	36	15	43	38	98	59	82	43	
isogroupTR101612_c1_g2	47	7	72	32	18	52	26	17	12	33	24	17	26	9	
isogroupTR101614_c1_g2	12	9	52	14	31	19	16	7	15	14	24	27	12	19	
isogroupTR101615_c0_g1	3	1	4	3	2	2	3	0	1	0	5	0	3	6	
isogroupTR101615_c1_g3	20	6	30	10	14	20	8	9	1	6	21	16	18	7	
isogroupTR101615_c3_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
isogroupTR101617_c7_g1	5	1	7	2	3	4	3	0	2	4	11	6	5	3	
isogroupTR101618_c7_g3	4	1	1	0	2	1	2	0	0	2	3	4	3	2	
isogroupTR101620_c0_g1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
isogroupTR101621_c3_g3	44	15	134	16	28	30	15	20	14	47	38	36	16	25	
isogroupTR101623_c9_g3	42	82	10	6	1	31	13	12	3	10	44	6	8	8	
isogroupTR101624_c0_g1	61	38	153	49	92	62	49	21	42	27	102	80	99	88	
isogroupTR101625_c7_g2	4	3	11	5	3	0	7	1	2	3	5	6	8	7	
isogroupTR101626_c7_g1	15	3	5	3	1	12	2	1	1	4	6	7	4	5	
isogroupTR101626_c7_g2	0	6	4	5	1	0	0	0	0	1	2	3	4	1	
isogroupTR101630_c4_g1	0	0	1	0	0	2	1	1	0	1	0	2	2	0	
isogroupTR101630_c6_g1	3	1	5	2	0	3	0	1	1	0	1	1	0	1	
isogroupTR101630_c6_g4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroupTR101632_c0_g3	24	14	56	17	17	36	13	14	10	46	35	41	38	31	
isogroupTR101633_c10_g2	305	161	549	256	299	496	206	223	206	278	613	451	347	292	
isogroupTR101633_c12_g1	109	57	144	65	66	63	51	66	25	127	82	96	61	60	
isogroupTR101633_c9_g1	6	0	3	3	2	3	2	3	0	1	10	4	7	5	
isogroupTR101633_c9_g2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
isogroupTR101634_c4_g1	0	0	2	0	0	0	1	0	1	0	0	0	1	0	
isogroupTR101634_c4_g2	81	34	126	21	34	39	19	31	12	69	58	72	55	31	
isogroupTR101636_c10_g2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR101636_c11_g1	0	0	0	2	1	0	1	0	1	0	0	0	2	0	
isogroupTR101636_c14_g2	1	12	8	18	18	1	9	9	4	2	11	10	5	10	
isogroupTR101636_c14_g4	7	7	23	4	8	2	8	2	1	7	11	4	9	5	
isogroupTR101636_c5_g1	0	0	2	2	0	0	3	0	1	0	4	4	0	3	
isogroupTR101639_c2_g1	2	1	7	3	0	2	1	1	4	0	7	9	2	3	
isogroupTR101641_c1_g1	116	87	219	96	109	94	113	44	90	104	188	118	154	148	
isogroupTR101641_c2_g2	112	57	323	134	102	59	139	105	42	105	128	164	253	116	
isogroupTR101643_c0_g2	70	60	218	106	87	20	67	26	62	104	143	157	84	63	
isogroupTR101644_c0_g1	6	5	11	6	3	4	4	2	1	3	20	7	14	5	
isogroupTR101647_c7_g1	107	98	60	23	61	109	29	20	20	52	142	65	33	54	
isogroupTR101647_c8_g2	4	1	4	2	3	1	1	1	0	2	5	1	0	0	
isogroupTR101647_c8_g3	5	3	2	0	8	6	0	1	2	1	6	3	1	1	
isogroupTR101647_c8_g5	40	24	67	20	13	28	29	48	3	40	56	39	16	13	
isogroupTR101649_c1_g1	101	29	105	32	35	57	27	29	28	54	98	49	43	31	
isogroupTR101649_c2_g3	348	172	781	235	342	439	325	301	164	341	441	469	501	310	
isogroupTR101650_c10_g1	24	21	45	23	20	25	15	5	21	3	46	27	18	30	
isogroupTR101650_c9_g2	376	144	833	227	173	165	180	139	121	448	247	235	217	195	
